[Sample Setup]										
Well	Well Position	Sample Name	Biogroup Name	Biogroup Color	Target Name	Task	Reporter	Quencher	Quantity	Comments
65	F5	8068287248	DDIC-008-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
66	F6	8068287362	DDIC-009-F02		VarATS	UNKNOWN	FAM	NFQ-MGB		
67	F7	8068286874	DDIC-011-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
68	F8	8068286985	DDUIC-029-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
69	F9	8068287192	DDIC-030-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
70	F10	8068286680	DDUIC-006-C1-F01		VarATS	UNKNOWN	FAM	NFQ-MGB		
71	F11	1052938476	0.1		VarATS	STANDARD	FAM	NFQ-MGB	"1e-01"	BP TEST
72	F12	1052938476	0.1		VarATS	STANDARD	FAM	NFQ-MGB	"1e-01"	BP TEST
73	G1									
74	G2									
75	G3									
76	G4									
77	G5									
78	G6									
79	G7									
80	G8									
81	G9									
82	G10									
83	G11									
84	G12									
85	H1									
86	H2									
87	H3									
88	H4									
89	H5									
90	H6									
91	H7									
92	H8									
93	H9									
94	H10									
95	H11	NTC	NTC		VarATS	NTC	FAM	NFQ-MGB		
96	H12	NTC	NTC		VarATS	NTC	FAM	NFQ-MGB		
